strategy,cost_bps,terminal_nav,cagr,sharpe_excess_rf,max_drawdown,annualized_volatility,beta_spy,annualized_l1_turnover,total_cost,average_close_spy_weight
ALWAYS_SPY,0,5.451093629514653,0.10495442271972744,0.5534605179543401,-0.5520110457220231,0.19294343621273516,1.0000000000000002,0.05885312600708991,0.0,1.0
SYMMETRIC_RV21,0,6.040047047553172,0.11164639633451934,0.7569233530382526,-0.3284620183271556,0.1368260637412206,0.6675749516154779,1.8228234296533492,0.0,0.8617849606926994
R3A_PRICE_ONLY,0,5.172573763637372,0.10154912519029802,0.5674821949982292,-0.5390351229959701,0.17772476319369282,0.8984398730494861,1.6870660110914977,0.0,0.9589163637044118
R3B_PERSISTENCE_CONFIRMED,0,4.692878621482265,0.09525766952069858,0.6483566736460954,-0.35314407711503437,0.1368066619625794,0.6675061551249855,1.3484025666794495,0.0,0.8480632784666778
ALWAYS_SPY,5,5.44836808269996,0.1049219000559658,0.5533047139439554,-0.5520110457220233,0.19294511008115253,1.0000084818506734,0.05885312600708991,0.0005,1.0
SYMMETRIC_RV21,5,5.947218839210864,0.11063356579697436,0.7502768886614377,-0.32933400302884497,0.1368217740278582,0.6675486727538067,1.8228234296533492,0.03695134999541927,0.8617849606926994
R3A_PRICE_ONLY,5,5.098955492086523,0.10062020550686235,0.562717847887263,-0.5395002490184284,0.1777314272705253,0.8984689579493724,1.6870660110914977,0.027803762361728313,0.9589163637044118
R3B_PERSISTENCE_CONFIRMED,5,4.639418872494513,0.09451940412123472,0.6434067222145242,-0.35344081681909956,0.1368115750764321,0.6675314594525998,1.3484025666794495,0.023292396143028964,0.8480632784666778
ALWAYS_SPY,10,5.445642535885213,0.10488936207663979,0.5531486985410955,-0.5520110457220238,0.19294685865026517,1.0000169637013467,0.05885312600708991,0.001,1.0
SYMMETRIC_RV21,10,5.855794962950584,0.10962140908606988,0.7436212116328953,-0.3302050231929047,0.13681910317642595,0.6675223938921357,1.8228234296533494,0.07319069246920433,0.8617849606926994
R3A_PRICE_ONLY,10,5.026366600617028,0.09969183242026158,0.5579501166603701,-0.5399650199827604,0.17773928380486803,0.898498042849259,1.6870660110914977,0.05511876691084361,0.9589163637044118
R3B_PERSISTENCE_CONFIRMED,10,4.5865552785475705,0.093781456129848,0.6384515836340727,-0.3537374619542154,0.13681767714231385,0.6675567637802141,1.3484025666794495,0.0462613976369788,0.8480632784666778
ALWAYS_SPY,20,5.440191442255641,0.10482424011174096,0.552836034329815,-0.552011045722024,0.19295057988236639,1.0000339274026933,0.05885312600708991,0.002,1.0
SYMMETRIC_RV21,20,5.677076880508918,0.10759911597443073,0.730283161090877,-0.33194417350530336,0.13681861838111176,0.6674698361687936,1.8228234296533492,0.14358095234883436,0.8617849606926994
R3A_PRICE_ONLY,20,4.884220601918539,0.09783672528796217,0.5484048895332186,-0.5408934974749198,0.17775857358963826,0.8985562126490311,1.6870660110914977,0.10831277747426415,0.9589163637044118
R3B_PERSISTENCE_CONFIRMED,20,4.4825906035193706,0.09230651209679608,0.6285262676894843,-0.354330468619499,0.13683344746291862,0.6676073724354423,1.3484025666794495,0.09124493511287303,0.8480632784666778
